Year,Period,Branch,Branch (Name),Parts Counter,Parts Shop,Parts Other,Parts All
2019,11,114,Charlotte,2509,906,1417,4832
2019,11,117,Greenville,379,250,485,1114
2019,11,160,Asheville,863,470,894,2227
2019,11,215,Columbia,1079,742,684,2505
2019,11,216,Piedmont,578,545,691,1814
2019,11,218,Charleston,880,461,1053,2394
2019,11,364,Macon,222,246,255,723
2019,11,365,Savannah,1269,911,663,2843
2019,11,367,Buford,1251,2331,1080,4662
2019,11,520,Knoxville,652,352,154,1158
2019,11,536,Chattanooga,549,145,182,876
2019,12,113,Raleigh,1324,1200,912,3436
2019,12,114,Charlotte,1954,1270,2474,5698
2019,12,117,Greenville,966,270,313,1549
2019,12,160,Asheville,1182,648,1072,2902
2019,12,215,Columbia,1285,1013,1146,3444
2019,12,216,Piedmont,518,271,539,1328
2019,12,218,Charleston,970,382,629,1981
2019,12,364,Macon,641,155,171,967
2019,12,365,Savannah,1156,700,1115,2971
2019,12,367,Buford,1694,704,1132,3530
2019,12,520,Knoxville,748,1068,278,2094
2019,12,536,Chattanooga,526,420,118,1064
2020,1,113,Raleigh,1862,1115,1080,4057
2020,1,114,Charlotte,2486,1491,2747,6724
2020,1,117,Greenville,773,361,298,1432
2020,1,160,Asheville,1005,583,861,2449
2020,1,215,Columbia,1919,572,612,3103
2020,1,216,Piedmont,832,453,1658,2943
2020,1,218,Charleston,1121,801,498,2420
2020,1,364,Macon,549,154,227,930
2020,1,365,Savannah,1894,578,2136,4608
2020,1,367,Buford,2197,1322,917,4436
2020,1,520,Knoxville,469,159,59,687
2020,1,536,Chattanooga,605,249,255,1109
2020,2,113,Raleigh,1641,1454,1188,4283
2020,2,114,Charlotte,1857,1646,2939,6442
2020,2,117,Greenville,640,330,205,1175
2020,2,160,Asheville,1121,667,392,2180
2020,2,215,Columbia,1456,1396,605,3457
2020,2,216,Piedmont,914,430,1128,2472
2020,2,218,Charleston,1020,603,481,2104
2020,2,364,Macon,703,95,127,925
2020,2,365,Savannah,1109,647,944,2700
2020,2,367,Buford,1611,822,1334,3767
2020,2,520,Knoxville,728,322,65,1115
2020,2,536,Chattanooga,1254,143,110,1507
2020,3,113,Raleigh,2033,1260,976,4269
2020,3,114,Charlotte,2501,901,2687,6089
2020,3,117,Greenville,518,374,280,1172
2020,3,160,Asheville,1008,1354,1171,3533
2020,3,215,Columbia,1302,1777,1084,4163
2020,3,216,Piedmont,943,591,627,2161
2020,3,218,Charleston,1041,925,937,2903
2020,3,364,Macon,824,217,259,1300
2020,3,365,Savannah,1678,941,981,3600
2020,3,367,Buford,1576,2096,1561,5233
2020,3,520,Knoxville,525,444,61,1030
2020,3,536,Chattanooga,543,557,159,1259
2020,4,113,Raleigh,2253,2305,964,5522
2020,4,114,Charlotte,2201,1247,2191,5639
2020,4,117,Greenville,462,364,421,1247
2020,4,160,Asheville,1155,654,1015,2824
2020,4,215,Columbia,1456,865,751,3072
2020,4,216,Piedmont,1150,1302,453,2905
2020,4,218,Charleston,1293,956,1338,3587
2020,4,364,Macon,537,289,169,995
2020,4,365,Savannah,1673,1475,1578,4726
2020,4,367,Buford,2218,773,941,3932
2020,4,520,Knoxville,597,387,131,1115
2020,4,536,Chattanooga,491,284,17,792
2020,5,113,Raleigh,1542,996,1372,3910
2020,5,114,Charlotte,2196,1069,2000,5265
2020,5,117,Greenville,538,179,790,1507
2020,5,160,Asheville,1953,381,488,2822
2020,5,215,Columbia,1392,1242,682,3316
2020,5,216,Piedmont,767,286,458,1511
2020,5,218,Charleston,1020,623,804,2447
2020,5,364,Macon,478,166,577,1221
2020,5,365,Savannah,1232,918,1793,3943
2020,5,367,Buford,2637,1136,1111,4884
2020,5,520,Knoxville,612,336,248,1196
2020,5,536,Chattanooga,665,213,315,1193
2020,6,113,Raleigh,1751,891,1077,3719
2020,6,114,Charlotte,2923,1957,1845,6725
2020,6,117,Greenville,303,467,302,1072
2020,6,160,Asheville,1587,428,832,2847
2020,6,215,Columbia,1243,979,966,3188
2020,6,216,Piedmont,1044,612,613,2269
2020,6,218,Charleston,994,569,605,2168
2020,6,364,Macon,787,314,369,1470
2020,6,365,Savannah,1295,722,1776,3793
2020,6,367,Buford,1702,1050,703,3455
2020,6,520,Knoxville,968,442,810,2220
2020,6,536,Chattanooga,761,611,431,1803
2020,7,113,Raleigh,2410,915,1076,4401
2020,7,114,Charlotte,2643,1443,1732,5818
2020,7,117,Greenville,393,986,358,1737
2020,7,160,Asheville,1120,1144,635,2899
2020,7,215,Columbia,1580,1467,921,3968
2020,7,216,Piedmont,1065,509,2905,4479
2020,7,218,Charleston,900,1376,1477,3753
2020,7,364,Macon,480,358,219,1057
2020,7,365,Savannah,1335,528,1174,3037
2020,7,367,Buford,1853,1070,1399,4322
2020,7,520,Knoxville,822,333,210,1365
2020,7,536,Chattanooga,1619,211,38,1868
2020,8,113,Raleigh,2138,1414,1477,5029
2020,8,114,Charlotte,2400,2013,2175,6588
2020,8,117,Greenville,562,1283,617,2462
2020,8,160,Asheville,946,267,566,1779
2020,8,215,Columbia,1316,1402,630,3348
2020,8,216,Piedmont,1019,487,3000,4506
2020,8,218,Charleston,1615,1378,494,3487
2020,8,364,Macon,608,343,231,1182
2020,8,365,Savannah,1741,341,700,2782
2020,8,367,Buford,2146,630,1060,3836
2020,8,520,Knoxville,759,273,140,1172
2020,8,536,Chattanooga,618,191,265,1074
2020,9,113,Raleigh,2509,1773,1224,5506
2020,9,114,Charlotte,1805,2166,1138,5109
2020,9,117,Greenville,642,873,679,2194
